
02/27/2014 23:00, 7.1, 0, 0.00, 70, -1, 13.7, 290, 0, 0, 
02/27/2014 22:00, 7.5, 0, 0.00, 66, -1, 14.2, 282, 0, 0, 
02/27/2014 21:00, 7.8, 0, 0.00, 65, -1, 16.5, 286, 0, 0, 
02/27/2014 20:00, 8.1, 0, 0.00, 70, 0, 16.4, 282, 0, 0, 
02/27/2014 19:00, 9.0, 0, 0.00, 61, -2, 16.9, 288, 0, 0, 
02/27/2014 18:00, 8.8, 0, 0.00, 71, 1, 17.2, 282, 0, 0, 
02/27/2014 17:00, 8.6, 0, 0.00, 79, 3, 16.1, 276, 5, 0, 
02/27/2014 16:00, 8.9, 0, 0.00, 66, 0, 16.0, 276, 14, 0, 
02/27/2014 15:00, 8.9, 0, 0.00, 64, -1, 16.4, 275, 20, 0, 
02/27/2014 14:00, 10.6, 0, 0.00, 69, 2, 15.0, 281, 18, 0, 
02/27/2014 13:00, 10.2, 0, 0.00, 85, 7, 14.8, 300, 17, 0, 
02/27/2014 12:00, 11.4, 0, 0.00, 99, 11, 10.9, 301, 8, 60, 
02/27/2014 11:00, 13.3, 0, 0.00, 95, 12, 8.8, 257, 14, 60, 
02/27/2014 10:00, 14.6, 0, 0.00, 82, 10, 7.6, 240, 14, 0, 
02/27/2014 09:00, 13.0, 0, 0.00, 79, 8, 6.6, 230, 7, 0, 
02/27/2014 08:00, 12.0, 0, 0.00, 73, 5, 6.1, 236, 4, 0, 
02/27/2014 07:00, 12.0, 0, 0.00, 72, 5, 7.8, 249, 0, 0, 
02/27/2014 06:00, 12.8, 0, 0.00, 73, 6, 8.6, 247, 0, 0, 
02/27/2014 05:00, 13.0, 0, 0.00, 83, 9, 7.8, 241, 0, 0, 
02/27/2014 04:00, 13.0, 0, 0.00, 95, 12, 7.0, 232, 0, 60, 
02/27/2014 03:00, 12.9, 0, 0.00, 78, 7, 7.6, 217, 0, 0, 
02/27/2014 02:00, 12.2, 0, 0.00, 71, 5, 5.9, 207, 0, 0, 
02/27/2014 01:00, 10.9, 0, 0.00, 77, 5, 5.7, 202, 0, 0, 
02/27/2014 00:00, 11.0, 0, 0.00, 83, 7, 6.1, 214, 0, 0, 
02/25/2014 23:00, 17.0, 0, 0.00, 74, 10, 7.6, 247, 1, 0, 
02/25/2014 22:00, 17.0, 0, 0.00, 74, 10, 7.6, 247, 1, 0, 
02/25/2014 21:00, 16.9, 0, 0.00, 73, 10, 7.6, 247, 1, 0, 
02/25/2014 20:00, 16.9, 0, 0.00, 73, 10, 7.6, 247, 1, 0, 
02/25/2014 19:00, 17.0, 0, 0.00, 74, 10, 7.6, 247, 1, 0, 
02/25/2014 18:00, 16.9, 0, 0.00, 73, 10, 7.0, 237, 1, 0, 
02/25/2014 17:00, 18.0, 72, 11, 0, 
02/25/2014 16:00, 
02/25/2014 15:00, -, 
02/25/2014 14:00, -, 
02/25/2014 13:00, -, 
02/25/2014 12:00, -, 
02/25/2014 11:00, -, 
02/25/2014 10:00, -, 
02/25/2014 09:00, -, 
02/25/2014 08:00, -, 
02/25/2014 07:00, -, 
02/25/2014 06:00, -, 
02/25/2014 05:00, -, 
02/25/2014 04:00, -, 
02/25/2014 03:00, -, 
02/25/2014 02:00, -, 
02/25/2014 01:00, -, 
02/25/2014 00:00, -, 
02/23/2014 23:00, -, 
02/23/2014 22:00, -, 
02/23/2014 21:00, -, 
02/23/2014 20:00, -, 
02/23/2014 19:00, -, 
02/23/2014 18:00, -, 
02/23/2014 17:00, -, 
02/23/2014 16:00, -, 
02/23/2014 15:00, -, 
02/23/2014 14:00, -, 
02/23/2014 13:00, -, 
02/23/2014 12:00, -, 
02/23/2014 11:00, -, 
02/23/2014 10:00, -, 
02/23/2014 09:00, -, 
02/23/2014 08:00, -, 
02/23/2014 07:00, -, 
02/23/2014 06:00, -, 
02/23/2014 05:00, -, 
02/23/2014 04:00, -, 
02/23/2014 03:00, -, 
02/23/2014 02:00, -, 
02/23/2014 01:00, -, 
02/23/2014 00:00, -, 
02/21/2014 23:00, -, 
02/21/2014 22:00, -, 
02/21/2014 21:00, -, 
02/21/2014 20:00, -, 
02/21/2014 19:00, -, 
02/21/2014 18:00, -, 
02/21/2014 17:00, -, 
02/21/2014 16:00, -, 
02/21/2014 15:00, -, 
02/21/2014 14:00, -, 
02/21/2014 13:00, -, 
02/21/2014 12:00, -, 
02/21/2014 11:00, -, 
02/21/2014 10:00, -, 
02/21/2014 09:00, -, 
02/21/2014 08:00, -, 
02/21/2014 07:00, -, 
02/21/2014 06:00, -, 
02/21/2014 05:00, -, 
02/21/2014 04:00, -, 
02/21/2014 03:00, -, 
02/21/2014 02:00, -, 
02/21/2014 01:00, -, 
02/21/2014 00:00, -, 
02/19/2014 23:00, -, 
02/19/2014 22:00, -, 
02/19/2014 21:00, -, 
02/19/2014 20:00, -, 
02/19/2014 19:00, -, 
02/19/2014 18:00, -, 
02/19/2014 17:00, -, 
02/19/2014 16:00, -, 
02/19/2014 15:00, -, 
02/19/2014 14:00, -, 
02/19/2014 13:00, -, 
02/19/2014 12:00, -, 
02/19/2014 11:00, -, 
02/19/2014 10:00, -, 
02/19/2014 09:00, -, 
02/19/2014 08:00, -, 
02/19/2014 07:00, -, 
02/19/2014 06:00, -, 
02/19/2014 05:00, -, 
02/19/2014 04:00, -, 
02/19/2014 03:00, -, 
02/19/2014 02:00, -, 
02/19/2014 01:00, -, 
02/19/2014 00:00, -, 
02/17/2014 23:00, -, 
02/17/2014 22:00, -, 
02/17/2014 21:00, -, 
02/17/2014 20:00, -, 
02/17/2014 19:00, -, 
02/17/2014 18:00, -, 
02/17/2014 17:00, -, 
02/17/2014 16:00, -, 
02/17/2014 15:00, -, 
02/17/2014 14:00, -, 
02/17/2014 13:00, -, 
02/17/2014 12:00, -, 
02/17/2014 11:00, -, 
02/17/2014 10:00, -, 
02/17/2014 09:00, -, 
02/17/2014 08:00, -, 
02/17/2014 07:00, -, 
02/17/2014 06:00, -, 
02/17/2014 05:00, -, 
02/17/2014 04:00, -, 
02/17/2014 03:00, -, 
02/17/2014 02:00, -, 
02/17/2014 01:00, -, 
02/17/2014 00:00, -, 
02/15/2014 23:00, -, 
02/15/2014 22:00, -, 
02/15/2014 21:00, -, 
02/15/2014 20:00, -, 
02/15/2014 19:00, -, 
02/15/2014 18:00, -, 
02/15/2014 17:00, -, 
02/15/2014 16:00, -, 
02/15/2014 15:00, -, 
02/15/2014 14:00, -, 
02/15/2014 13:00, -, 
02/15/2014 12:00, -, 
02/15/2014 11:00, -, 
02/15/2014 10:00, -, 
02/15/2014 09:00, -, 
02/15/2014 08:00, -, 
02/15/2014 07:00, -, 
02/15/2014 06:00, -, 
02/15/2014 05:00, -, 
02/15/2014 04:00, -, 
02/15/2014 03:00, -, 
02/15/2014 02:00, -, 
02/15/2014 01:00, -, 
02/15/2014 00:00, -, 
02/13/2014 23:00, -, 
02/13/2014 22:00, -, 
02/13/2014 21:00, -, 
02/13/2014 20:00, -, 
02/13/2014 19:00, -, 
02/13/2014 18:00, -, 
02/13/2014 17:00, -, 
02/13/2014 16:00, -, 
02/13/2014 15:00, -, 
02/13/2014 14:00, -, 
02/13/2014 13:00, -, 
02/13/2014 12:00, -, 
02/13/2014 11:00, -, 
02/13/2014 10:00, -, 
02/13/2014 09:00, -, 
02/13/2014 08:00, -, 
02/13/2014 07:00, -, 
02/13/2014 06:00, -, 
02/13/2014 05:00, -, 
02/13/2014 04:00, -, 
02/13/2014 03:00, -, 
02/13/2014 02:00, -, 
02/13/2014 01:00, -, 
02/13/2014 00:00, -, 
02/11/2014 23:00, 9.0, 0, 0.00, 84, 5, 3.3, 214, 0, 0, 
02/11/2014 22:00, 10.0, 0, 0.00, 82, 6, 4.1, 220, 0, 0, 
02/11/2014 21:00, 11.0, 0, 0.00, 87, 8, 4.3, 224, 0, 0, 
02/11/2014 20:00, 11.0, 0, 0.00, 88, 8, 4.0, 226, 0, 0, 
