
05/31/2014 23:00, 49.0, 89, 46, 0.4, 37, 0, 0, 
05/31/2014 22:00, 52.0, 88, 49, 2.3, 129, 0, 0, 
05/31/2014 21:00, 54.0, 84, 49, 1.5, 134, 2, 0, 
05/31/2014 20:00, 59.0, 77, 52, 4.3, 122, 78, 0, 
05/31/2014 19:00, 62.0, 70, 52, 6.5, 130, 123, 0, 
05/31/2014 18:00, 65.0, 66, 53, 7.6, 62, 295, 0, 
05/31/2014 17:00, 66.0, 62, 53, 13.8, 92, 619, 0, 
05/31/2014 16:00, 69.0, 59, 54, 7.9, 69, 785, 0, 
05/31/2014 15:00, 68.0, 61, 54, 14.1, 99, 685, 0, 
05/31/2014 14:00, 67.0, 59, 52, 12.3, 97, 563, 0, 
05/31/2014 13:00, 72.0, 34, 42, 19.1, 28, 893, 0, 
05/31/2014 12:00, 69.0, 41, 44, 27.9, 50, 792, 0, 
05/31/2014 11:00, 70.0, 46, 48, 11.7, 49, 809, 0, 
05/31/2014 10:00, 68.0, 46, 46, 17.5, 26, 673, 0, 
05/31/2014 09:00, 65.0, 61, 51, 9.8, 2, 504, 0, 
05/31/2014 08:00, 61.0, 71, 52, 4.0, 345, 320, 0, 
05/31/2014 07:00, 57.0, 79, 51, 3.2, 19, 135, 0, 
05/31/2014 06:00, 54.0, 86, 50, 2.2, 336, 14, 0, 
05/31/2014 05:00, 53.0, 88, 50, 4.4, 323, 0, 0, 
05/31/2014 04:00, 54.0, 88, 51, 2.8, 292, 0, 0, 
05/31/2014 03:00, 55.0, 89, 52, 4.6, 354, 0, 0, 
05/31/2014 02:00, 57.0, 89, 54, 3.6, 346, 0, 0, 
05/31/2014 01:00, 59.0, 88, 55, 3.3, 321, 0, 0, 
05/31/2014 00:00, 61.0, 84, 56, 4.4, 0, 0, 0, 
05/29/2014 23:00, 54.0, 0.00, 86, 50, 0.6, 51, 0, 0, 
05/29/2014 22:00, 53.0, 0.00, 88, 50, 2.5, 113, 0, 0, 
05/29/2014 21:00, 53.0, 0.00, 87, 49, 0.9, 112, 1, 0, 
05/29/2014 20:00, 54.0, 0.00, 84, 49, 3.2, 74, 25, 0, 
05/29/2014 19:00, 54.0, 0.00, 79, 48, 3.5, 132, 87, 0, 
05/29/2014 18:00, 55.0, 0.00, 73, 47, 4.0, 109, 211, 0, 
05/29/2014 17:00, 57.0, 0.00, 70, 47, 8.8, 104, 374, 0, 
05/29/2014 16:00, 58.0, 0.00, 65, 46, 5.9, 75, 431, 0, 
05/29/2014 15:00, 59.0, 0.00, 69, 49, 6.2, 76, 720, 0, 
05/29/2014 14:00, 58.0, 0.00, 68, 47, 5.7, 67, 566, 0, 
05/29/2014 13:00, 56.0, 0.00, 74, 48, 9.1, 120, 354, 0, 
05/29/2014 12:00, 55.0, 0.00, 77, 48, 5.9, 96, 329, 0, 
05/29/2014 11:00, 54.0, 0.00, 76, 47, 3.8, 32, 265, 0, 
05/29/2014 10:00, 54.0, 0.00, 80, 48, 11.2, 63, 201, 0, 
05/29/2014 09:00, 53.0, 0.00, 83, 48, 11.9, 67, 112, 0, 
05/29/2014 08:00, 53.0, 0.00, 82, 48, 10.6, 47, 60, 0, 
05/29/2014 07:00, 52.0, 0.00, 84, 47, 12.7, 52, 20, 0, 
05/29/2014 06:00, 52.0, 0.00, 84, 47, 12.5, 54, 2, 0, 
05/29/2014 05:00, 52.0, 0.00, 84, 47, 9.1, 56, 0, 0, 
05/29/2014 04:00, 52.0, 0.00, 84, 47, 12.7, 80, 0, 0, 
05/29/2014 03:00, 53.0, 0.00, 84, 48, 9.0, 73, 0, 0, 
