
09/29/2016 23:00, 53.0, 0.00, 100, 53, 60, 
09/29/2016 22:00, 54.0, 23, 0.00, 100, 54, 60, 
09/29/2016 21:00, 54.0, 48, 0.00, 100, 54, 60, 
09/29/2016 20:00, 55.0, 60, 0.00, 100, 55, 60, 
09/29/2016 19:00, 55.0, 60, 0.01, 100, 55, 60, 
09/29/2016 18:00, 56.0, 60, 0.00, 100, 56, 60, 
09/29/2016 17:00, 56.0, 0.00, 100, 56, 60, 
09/29/2016 16:00, 57.0, 38, 0.00, 100, 57, 60, 
09/29/2016 15:00, 57.0, 48, 0.01, 100, 57, 60, 
09/29/2016 14:00, 57.0, 33, 0.00, 100, 57, 60, 
09/29/2016 13:00, 55.0, 24, 0.00, 100, 55, 60, 
09/29/2016 12:00, 55.0, 29, 0.00, 100, 55, 60, 
09/29/2016 11:00, 55.0, 30, 0.00, 100, 55, 60, 
09/29/2016 10:00, 54.0, 60, 0.01, 100, 54, 60, 
09/29/2016 09:00, 53.0, 0.00, 100, 53, 60, 
09/29/2016 08:00, 53.0, 15, 0.00, 100, 53, 60, 
09/29/2016 07:00, 53.0, 48, 0.02, 100, 53, 60, 
09/29/2016 06:00, 53.0, 48, 0.03, 100, 53, 60, 
09/29/2016 05:00, 53.0, 49, 0.00, 100, 53, 60, 
09/29/2016 04:00, 53.0, 50, 0.12, 100, 53, 60, 
09/29/2016 03:00, 54.0, 55, 0.01, 100, 54, 60, 
09/29/2016 02:00, 54.0, 35, 0.08, 100, 54, 60, 
09/29/2016 01:00, 58.0, 0, 0.00, 100, 58, 60, 
09/29/2016 00:00, 58.0, 0, 0.00, 100, 58, 60, 
09/27/2016 23:00, 52.0, 0, 0.00, 85, 48, 0, 
09/27/2016 22:00, 53.0, 0, 0.00, 80, 47, 0, 
09/27/2016 21:00, 53.0, 0, 0.00, 80, 47, 0, 
09/27/2016 20:00, 55.0, 0, 0.00, 77, 48, 0, 
09/27/2016 19:00, 58.0, 0, 0.00, 65, 46, 0, 
09/27/2016 18:00, 66.0, 0, 0.00, 51, 47, 0, 
09/27/2016 17:00, 68.0, 0, 0.00, 50, 49, 0, 
09/27/2016 16:00, 67.0, 0, 0.00, 45, 45, 0, 
09/27/2016 15:00, 67.0, 0, 0.00, 48, 47, 0, 
